2023-06-14 16:22:29 - [INFO] - server.py | Подключение клиента: 127.0.0.1:48616
2023-06-14 16:22:29 - [INFO] - server.py | Подключение клиента: 127.0.0.1:48618
2023-06-14 16:22:30 - [INFO] - server.py | Сообщение от 127.0.0.1:48618 - 
2023-06-14 16:22:30 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:48618
2023-06-14 16:22:30 - [INFO] - server.py | Приступаю к отправке сообщений
2023-06-14 16:22:30 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:48618
2023-06-14 16:22:30 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:48618
2023-06-14 16:22:31 - [INFO] - server.py | Сообщение от 127.0.0.1:48618 - 
2023-06-14 16:22:31 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:48618
2023-06-14 16:22:31 - [INFO] - server.py | Сообщение от 127.0.0.1:48618 - 
2023-06-14 16:22:31 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:48618
2023-06-14 16:22:31 - [INFO] - server.py | Приступаю к отправке сообщений
2023-06-14 16:22:31 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:48618
2023-06-14 16:22:46 - [INFO] - server.py | Подключение клиента: 127.0.0.1:52198
2023-06-14 16:22:47 - [INFO] - server.py | Подключение клиента: 127.0.0.1:52204
2023-06-14 16:22:48 - [INFO] - server.py | Сообщение от 127.0.0.1:52204 - 
2023-06-14 16:22:48 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:52204
2023-06-14 16:22:48 - [INFO] - server.py | Приступаю к отправке сообщений
2023-06-14 16:22:48 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:52204
2023-06-14 16:22:48 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:52204
2023-06-14 16:22:49 - [INFO] - server.py | Сообщение от 127.0.0.1:52204 - 
2023-06-14 16:22:49 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:52204
2023-06-14 16:22:49 - [INFO] - server.py | Сообщение от 127.0.0.1:52204 - 
2023-06-14 16:22:49 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:52204
2023-06-14 16:22:49 - [INFO] - server.py | Приступаю к отправке сообщений
2023-06-14 16:22:49 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:52204
2023-06-14 16:25:51 - [INFO] - server.py | Подключение клиента: 127.0.0.1:46600
2023-06-14 16:25:51 - [INFO] - server.py | Сообщение от 127.0.0.1:46600 - 
2023-06-14 16:25:51 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:46600
2023-06-14 16:25:51 - [INFO] - server.py | Приступаю к отправке сообщений
2023-06-14 16:25:51 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:46600
2023-06-14 16:25:52 - [INFO] - server.py | Сообщение от 127.0.0.1:46600 - 
2023-06-14 16:25:52 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:46600
2023-06-14 16:25:52 - [INFO] - server.py | Приступаю к отправке сообщений
2023-06-14 16:27:45 - [INFO] - server.py | Подключение клиента: 127.0.0.1:51068
2023-06-14 16:27:45 - [INFO] - server.py | Подключение клиента: 127.0.0.1:51082
2023-06-14 16:29:15 - [INFO] - server.py | Сообщение от 127.0.0.1:51082 - 
2023-06-14 16:29:15 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:51082
2023-06-14 16:29:15 - [INFO] - server.py | Сообщение от 127.0.0.1:51082 - 
2023-06-14 16:29:15 - [ERROR] - server.py | Не удалось распарсить JSON от 127.0.0.1:51082
2023-06-14 16:29:15 - [INFO] - server.py | Приступаю к отправке сообщений
2023-06-14 16:29:15 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:51082
2023-06-14 16:29:15 - [INFO] - server.py | Отправка сообщения клиенту 127.0.0.1:51082
